date,year,week,family,slug,field_size,winning_score,cash_line_p80,median_score,top_n,winners_avg_own,winners_low_own_mean,winners_unique_pct,winners_dup_max,winner_entry,n_slate_defining,source_file
2024-W01,2024,1,Classic,nfl_classic,951248,196.88,91.74,109.04,,,,,,sidi1979,,Classic Slate Week 1 2024.csv
2024-W01,2024,1,Full,nfl_classic,4705,201.18,91.34,110.34,47,8.0,6.23,95.7,2,lama7557,4,Full Slate Week 1 2024.csv
2024-W02,2024,2,Classic,nfl_classic,205882,229.92,105.54,123.0,,,,,,sampit16,,Classic Slate Week 2 2024.csv
2024-W02,2024,2,Full,nfl_classic,3892,196.22,95.16,115.02,39,11.99,4.9,100.0,1,shaidyadvice,5,Full Slate Week 2 2024.csv
2024-W03,2024,3,Classic,nfl_classic,205643,240.14,88.1,109.38,,,,,,bruceleeroygreen33,,Classic Slate Week 3 2024.csv
2024-W03,2024,3,Full,nfl_classic,2810,228.38,95.66,120.01,28,14.25,4.04,100.0,1,relicck,2,Full Slate Week 3 2024.csv
2024-W04,2024,4,Classic,nfl_classic,191176,223.68,106.48,126.38,,,,,,stephon828,,Classic Slate Week 4 2024.csv
2024-W04,2024,4,Full,nfl_classic,2352,199.68,105.19,125.46,24,12.24,4.12,100.0,1,gregr1224,5,Full Slate Week 4 2024.csv
2024-W05,2024,5,Classic,nfl_classic,184206,236.92,110.7,129.66,,,,,,dustpop,,Classic Slate Week 5 2024.csv
2024-W05,2024,5,Full,nfl_classic,2745,209.28,107.71,126.44,27,12.67,4.19,100.0,1,backinblackron,4,Full Slate Week 5 2024.csv
2024-W06,2024,6,Classic,nfl_classic,176470,220.92,102.54,120.7,,,,,,joenip166,,Classic Slate Week 6 2024.csv
2024-W07,2024,7,Classic,nfl_classic,294117,185.36,83.56,100.08,,,,,,thehman,,Classic Slate Week 7 2024.csv
2024-W07,2024,7,Full,nfl_classic,2352,189.78,92.38,110.94,24,9.84,5.88,100.0,1,graat,7,Full Slate Week 7 2024.csv
2024-W08,2024,8,Classic,nfl_classic,161764,211.66,104.34,124.24,,,,,,rick12324,,Classic Slate Week 8 2024.csv
2024-W08,2024,8,Full,nfl_classic,2352,204.9,105.86,124.9,24,13.57,4.08,100.0,1,shaidyadvice,4,Full Slate Week 8 2024.csv
2024-W09,2024,9,Classic,nfl_classic,161764,262.1,112.3,132.96,,,,,,chindog619,,Classic Slate Week 9 2024.csv
2024-W09,2024,9,Full,nfl_classic,2175,219.22,117.1,138.78,22,13.56,3.68,100.0,1,twitterqueen,3,Full Slate Week 9 2024.csv
