date,year,tournament,slug,field_size,winning_score,cash_line_p80,median_score,top_n,winners_avg_own,winners_low_own_mean,winners_unique_pct,winners_dup_max,winner_avg_own,winner_low_own_count,n_slate_defining,source_file
01-05-2023,2023,Tournament of Champions,pga_classic,35294,797.0,612.0,650.0,100,21.7,0.32,53.0,5,21.48,0,6,01-05-2023 Tournament of Champions Classic.csv
01-05-2025,2025,Sentry,pga_classic,29411,874.0,628.5,668.0,100,13.93,2.68,88.0,2,13.45,3,4,01-05-2025 The Sentry Classic.csv
01-11-2024,2024,Sony Open,pga_classic,35294,644.5,387.5,446.5,100,13.93,1.73,94.0,2,13.11,2,5,01-11-2024 Sony Open Classic.csv
01-12-2023,2023,Sony Open,pga_classic,35208,629.0,324.5,386.0,100,12.08,2.05,90.0,4,12.52,2,6,01-12-2023 Sony Open Classic.csv
01-12-2025,2025,Sony Open,pga_classic,29411,648.5,316.0,376.0,100,13.13,2.92,88.0,6,10.98,4,5,01-12-2025 Sony Open Classic.csv
01-18-2024,2024,American Express,pga_classic,35294,786.5,530.5,576.5,100,10.26,3.46,92.0,2,9.22,3,5,01-18-2024 American Express Classic.csv
01-18-2026,2026,Sony Open,pga_classic,23529,587.0,346.5,398.0,100,12.9,2.59,94.0,3,12.17,3,4,01-18-2026 Sony Open Classic.csv
01-19-2025,2025,American Express,pga_classic,29411,756.5,454.0,507.5,100,13.98,2.19,91.0,6,14.78,2,3,01-19-2025 The American Express Classic.csv
01-22-2023,2023,American Express,pga_classic,29411,773.0,503.5,552.0,100,11.09,3.23,96.0,2,13.05,3,4,01-22-2023 The American Express Classic.csv
01-24-2024,2024,Farmers,pga_classic,35294,590.5,315.0,366.0,100,12.85,1.88,80.0,14,13.36,1,7,01-24-2024 Farmers Classic.csv
01-25-2025,2025,Farmers Insurance Open,pga_classic,29411,466.5,224.0,268.0,100,12.75,2.86,88.0,8,13.78,3,3,01-25-2025 Farmers Insurance Open Classic.csv
01-25-2026,2026,American Express,pga_classic,28235,756.0,500.0,556.0,100,12.14,2.97,65.0,4,8.93,4,3,01-25-2026 The American Express Classic.csv
01-28-2023,2023,Farmers Insurance Open,pga_classic,35294,559.5,317.5,362.0,100,12.06,3.03,98.0,2,10.78,4,3,01-28-2023 Farmers Insurance Open Classic.csv
01-29-2023,2023,Dubai Desert,pga_classic,627,619.5,375.0,432.0,20,15.28,3.85,100.0,1,14.11,4,4,01-29-2023 Dubai Desert Classic.csv
