date,year,tournament,slug,field_size,winning_score,cash_line_p80,median_score,top_n,winners_avg_own,winners_low_own_mean,winners_unique_pct,winners_dup_max,winner_avg_own,winner_low_own_count,n_slate_defining,source_file
01-05-2025,2025,Sentry,pga_rd4_sd,4705,436.2,322.85,344.05,47,18.46,1.7,95.7,2,9.9,3,3,01-05-2025 The Sentry R4 SD.csv
01-08-2023,2023,Tournament of Champions,pga_rd4_sd,4117,448.45,311.71,334.6,41,20.69,1.02,75.6,2,19.17,1,2,01-08-2023 Tournament of Champions R4 SD.csv
01-12-2023,2023,Sony Open,pga_rd4_sd,3529,329.75,241.66,262.6,35,22.13,1.14,94.3,2,21.5,1,4,01-12-2023 Sony Open R4 SD.csv
01-12-2025,2025,Sony Open,pga_rd4_sd,4705,331.8,243.0,264.1,47,24.78,0.64,61.7,11,30.17,0,0,01-12-2025 Sony Open R4 SD.csv
01-14-2024,2024,Sony Open,pga_rd4_sd,5882,385.35,253.35,276.5,59,17.55,2.34,96.6,2,15.32,2,3,01-14-2024 Sony Open R4 SD.csv
01-18-2026,2026,Sony Open,pga_rd4_sd,3294,380.2,243.5,268.58,33,19.26,0.94,87.9,2,23.1,0,5,01-18-2026 Sony Open R4 SD.csv
01-19-2025,2025,American Express,pga_rd4_sd,4705,343.6,251.05,270.15,47,23.43,1.4,83.0,2,16.02,2,2,01-19-2025 The American Express R4 SD.csv
01-21-2024,2024,American Express,pga_rd4_sd,4705,412.8,273.75,305.7,47,19.78,1.81,95.7,2,12.08,4,4,01-21-2024 American Express R4 SD.csv
01-22-2023,2023,American Express,pga_rd4_sd,2941,426.65,295.95,319.8,29,19.17,1.24,100.0,1,23.64,2,2,01-22-2023 The American Express R4 SD.csv
01-25-2025,2025,Farmers Insurance Open,pga_rd4_sd,11764,254.65,123.7,148.35,100,19.46,1.5,82.0,3,23.01,1,3,01-25-2025 Farmers Insurance Open R4 SD.csv
01-25-2026,2026,American Express,pga_rd4_sd,3294,377.65,247.83,276.05,33,16.81,2.33,90.9,6,12.0,3,1,01-25-2026 The American Express R4 SD.csv
